evidence_id,is_anomaly,anomaly_type,severity,explanation
EVD00000,1,flagged_by_system,LOW,Flagged by source system: UNREVIEWED_EVIDENCE
EVD00001,1,low_confidence_evidence,MEDIUM,Confidence 0.57 below 0.70 threshold despite approval
EVD00002,1,stale_evidence,HIGH,Evidence is 153 days old without current approval
EVD00003,1,stale_evidence,HIGH,Evidence is 106 days old without current approval
EVD00004,0,,,
EVD00005,1,low_confidence_evidence,MEDIUM,Confidence 0.66 below 0.70 threshold despite approval
EVD00006,0,,,
EVD00007,0,,,
EVD00008,0,,,
EVD00009,1,stale_evidence,HIGH,Evidence is 122 days old without current approval
EVD00010,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00011,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00012,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00013,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00014,0,,,
EVD00015,1,stale_evidence,HIGH,Evidence is 99 days old without current approval
EVD00016,1,stale_evidence,HIGH,Evidence is 133 days old without current approval
EVD00017,0,,,
EVD00018,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00019,0,,,
EVD00020,1,stale_evidence,HIGH,Evidence is 166 days old without current approval
EVD00021,1,stale_evidence,HIGH,Evidence is 179 days old without current approval
EVD00022,1,stale_evidence,HIGH,Evidence is 179 days old without current approval
EVD00023,1,stale_evidence,HIGH,Evidence is 107 days old without current approval
EVD00024,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00025,0,,,
EVD00026,1,stale_evidence,HIGH,Evidence is 148 days old without current approval
EVD00027,1,flagged_by_system,LOW,Flagged by source system: STALE_EVIDENCE
EVD00028,0,,,
EVD00029,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00030,1,stale_evidence,HIGH,Evidence is 113 days old without current approval
EVD00031,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00032,1,low_confidence_evidence,MEDIUM,Confidence 0.65 below 0.70 threshold despite approval
EVD00033,1,flagged_by_system,LOW,Flagged by source system: INCOMPLETE_MAPPING
EVD00034,1,flagged_by_system,LOW,Flagged by source system: INCOMPLETE_MAPPING
EVD00035,0,,,
EVD00036,1,stale_evidence,HIGH,Evidence is 150 days old without current approval
EVD00037,0,,,
EVD00038,0,,,
EVD00039,0,,,
EVD00040,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00041,1,low_confidence_evidence,MEDIUM,Confidence 0.55 below 0.70 threshold despite approval
EVD00042,1,rejected_evidence,HIGH,Evidence was reviewed and rejected
EVD00043,1,flagged_by_system,LOW,Flagged by source system: COMPLIANCE_GAP
